Loan Ids,Good/Bad Loan,Covid_Period(Default),RECOMENDED_LOAN_AMT,INTEREST_RATE,TENOR,TOTAL_COLLATERAL_VALUE,REC_BASIS,FRESH_TOPUP,PRODUCT,CONSTITUTION,SOURCE_BRANCH,APPLICANT_STATE,APPLICANT_CITY,COBORROWER1_DESIGNATION,COBORROWER2_DESIGNATION,COBORROWER1_CIBILSCORE,COBORROWER2_CIBILSCORE,LOCALITY,Years of Operation,TOTAL_INCOME
sdv-id-RMgiXm,Bad,No,3329837,14,61,33777254.07,Cashflows,Fresh,Unsecured,Trust,C,Indiana,Port Carmenhaven,President,Treasurer,47,862,URBAN,9,9107008
sdv-id-Syxdgl,Good,No,4494862,14,40,20002603.1,Finance Ledgers,Fresh,Others,Society,V,South Carolina,West Samuelchester,President,Others,866,-1,RURAL,9,12413621
sdv-id-wqWRPq,Bad,Yes,3812317,14,75,27343822.84,Cashflows,Fresh,Others,Society,F,Michigan,Nortonfurt,Secretary,Others,866,862,SEMIU,10,6570958
sdv-id-YhPXxU,Good,No,10886097,14,73,,Cashflows,Top Up,Others,Trust,E,Maryland,South Jenniferberg,Secretary,Member,866,862,URBAN,7,25692475
sdv-id-FTefTc,Bad,No,7736485,14,89,42770977.52,Cashflows,Fresh,Unsecured,Society,_,Idaho,Parkstown,President,Member,866,862,URBAN,19,105122297
sdv-id-VuLvCv,Bad,Yes,11388,14,30,,Cashflows,Fresh,Unsecured,Trust,K,Florida,New Steventown,President,Secretary,866,862,SEMIU,4,4610757
sdv-id-UHLVZI,Good,Yes,4690882,14,75,,Finance Ledgers,Fresh,Others,Society,Z,Wyoming,Port Amandaberg,President,Trustee,866,862,RURAL,8,6553574
sdv-id-GGPFeW,Bad,Yes,12934789,14,108,,Cashflows,Fresh,Others,Society,V,Montana,North Tiffanystad,Managing Trustee,Treasurer,857,-1,RURAL,7,2311966
sdv-id-zqdDzO,Bad,Yes,187682,14,72,13977995.29,Cashflows,Fresh,Unsecured,Society,P,Florida,Sandersside,President,Secretary,866,-1,SEMIU,12,3549015
sdv-id-FIqiYh,Bad,Yes,346245,14,46,,Finance Ledgers,Fresh,Unsecured,Trust,E,Wisconsin,Bryanbury,Secretary,President,866,862,RURAL,18,10879260
sdv-id-Yxyyjs,Bad,Yes,307640,14,33,,Cashflows,Fresh,Secured,Trust,I,North Dakota,Allenshire,Vice President,Vice President,866,862,RURAL,21,3858233
sdv-id-sBYnOo,Bad,Yes,1049290,14,49,,Cashflows,Fresh,Others,Society,],New Mexico,Andersonfurt,Secretary,Secretary,866,341,SEMIU,5,16314077
sdv-id-ntFqDo,Good,No,4733276,14,44,8624859.611,Finance Ledgers,Top Up,Others,Trust,Y,New York,New Linda,Secretary,President,866,823,RURAL,8,1340489
sdv-id-CjGiyn,Good,No,111661,14,26,,Cashflows,Fresh,Others,Trust,_,South Carolina,Karenshire,Secretary,Others,866,862,RURAL,13,10061513
sdv-id-ThfQdo,Good,No,3758213,14,58,,Cashflows,Top Up,Secured,Trust,G,Louisiana,East Matthew,Member,President,866,862,RURAL,39,22243340
sdv-id-OfEihn,Bad,Yes,2276266,14,63,14708102.82,Finance Ledgers,Top Up,Others,Society,A,Pennsylvania,Edwardland,Secretary,President,866,862,SEMIU,6,254801
sdv-id-obHcja,Good,Yes,2630422,14,107,,Finance Ledgers,Fresh,Secured,Society,D,Massachusetts,Port Daleport,Secretary,Member,866,862,URBAN,9,12909049
sdv-id-VwHvYv,Bad,Yes,310410,14,76,,Cashflows,Fresh,Unsecured,Trust,M,New Jersey,Martinezport,Secretary,Managing Director,862,862,RURAL,5,487451
sdv-id-qtpCpg,Good,No,557265,14,56,7967543.781,Cashflows,Fresh,Others,Trust,Y,California,North Ruth,President,Treasurer,-1,862,RURAL,7,5829094
sdv-id-SxeoWc,Bad,Yes,7029845,14,89,22297710.65,Cashflows,Fresh,Others,Society,E,Montana,Fernandezfort,Secretary,Managing Director,866,862,SEMIU,11,20874494
sdv-id-BFBuIg,Bad,No,131477,14,96,930733.6683,Cashflows,Fresh,Unsecured,Society,D,Michigan,Vincentmouth,Secretary,Member,-1,860,URBAN,18,9363914
sdv-id-lgmgMM,Good,No,349035,14,56,,Finance Ledgers,Fresh,Secured,Society,E,Missouri,Gilesfort,Secretary,Secretary,866,862,RURAL,4,3441065
sdv-id-WjIqtv,Good,No,5428980,14,64,,Finance Ledgers,Fresh,Unsecured,Society,F,Utah,West Mason,President,Secretary,866,480,URBAN,35,13488859
sdv-id-OxvJav,Bad,Yes,1645009,14,46,4719186.947,Cashflows,Fresh,Others,Society,S,Virginia,Castillofort,President,President,806,0,SEMIU,4,10676124
sdv-id-TWfHpd,Good,Yes,342156,14,41,,Finance Ledgers,Fresh,Others,Society,^,Minnesota,Melaniestad,President,President,866,862,SEMIU,9,122628
sdv-id-IxaLhy,Bad,No,34876,14,49,,Cashflows,Fresh,Others,Society,N,Nevada,South Sheilafort,Secretary,Member,1,-1,SEMIU,4,5282222
sdv-id-qsYIhr,Bad,No,833067,14,50,15280702.64,Cashflows,Fresh,Unsecured,Society,O,North Dakota,New Lindseyburgh,Treasurer,,853,862,SEMIU,3,9761184
sdv-id-AiOstA,Bad,No,478524,14,60,35384468.92,Finance Ledgers,Fresh,Unsecured,Society,A,Florida,Lake Mary,President,Secretary,866,862,RURAL,9,12743687
sdv-id-DtCmjj,Bad,Yes,2926367,14,52,16813864.24,Finance Ledgers,Fresh,Unsecured,Society,E,Minnesota,Susanside,President,Others,866,862,SEMIU,17,12268028
sdv-id-eYAkqn,Bad,Yes,220257,14,57,,Finance Ledgers,Fresh,Unsecured,Society,P,Kentucky,Lake Peter,Secretary,President,866,37,RURAL,10,8988229
sdv-id-XvDLlC,Bad,Yes,772775,14,57,,Cashflows,Fresh,Unsecured,Society,A,Tennessee,South Kimberlyton,Treasurer,President,866,862,RURAL,25,8177232
sdv-id-fNsHSC,Good,No,479334,14,45,,Cashflows,Fresh,Unsecured,Society,Z,Georgia,Lake Michael,Secretary,Managing Director,776,862,SEMIU,14,16511345
sdv-id-KHWOVK,Good,Yes,89835,14,23,,Cashflows,Fresh,Secured,Society,S,Arizona,South Marychester,Managing Trustee,Secretary,866,-1,URBAN,28,10000695
sdv-id-iNIFPZ,Good,No,98868,14,27,,Cashflows,Fresh,Secured,Trust,K,Alabama,New Jeffreyfort,President,President,669,862,RURAL,7,9652657
sdv-id-sIRqdj,Bad,Yes,377755,14,43,,Cashflows,Fresh,Others,Society,K,Wyoming,Port Ryanberg,Managing Director,Treasurer,805,862,RURAL,13,2475081
sdv-id-gibgws,Good,No,173412,14,51,,Finance Ledgers,Fresh,Others,Society,X,New York,Guzmanland,Secretary,Secretary,866,862,URBAN,16,836818
sdv-id-iDQiSE,Bad,Yes,155281,14,42,,Cashflows,Top Up,Unsecured,Trust,P,North Carolina,Andersonfort,Chairman,Member,866,541,URBAN,1,1616028
sdv-id-RiTpvD,Good,No,1263803,14,62,,Cashflows,Fresh,Others,Society,H,Arizona,Courtneyton,Correspondent,Managing Director,866,862,URBAN,21,3504592
sdv-id-LulHuy,Bad,No,5553866,14,79,43649939.06,Cashflows,Fresh,Others,Trust,^,Utah,West Johnnyshire,Secretary,President,866,862,RURAL,24,82685361
sdv-id-VdymYB,Bad,No,858477,14,48,5488268.967,Finance Ledgers,Fresh,Others,Society,P,Kentucky,Port David,Secretary,Treasurer,866,281,RURAL,3,4060256
sdv-id-AAuCJg,Good,No,579918,14,53,15503399.98,Cashflows,Fresh,Others,Society,A,Vermont,Samuelburgh,Correspondent,Member,46,862,SEMIU,14,5087804
sdv-id-TFOeXj,Good,No,45342,14,43,22685912.94,Finance Ledgers,Fresh,Secured,Society,R,Texas,North Dawnhaven,Secretary,Treasurer,35,-1,URBAN,10,1712537
sdv-id-OGzpTs,Good,Yes,1258867,14,38,,Finance Ledgers,Top Up,Others,Trust,P,West Virginia,North William,Correspondent,Treasurer,866,862,SEMIU,4,36923519
sdv-id-PrJKjZ,Bad,Yes,9120221,14,77,20659545.09,Cashflows,Fresh,Others,Society,C,Washington,South Kylemouth,President,President,866,19,URBAN,17,18405679
sdv-id-DggsHq,Good,No,41943,14,33,,Finance Ledgers,Top Up,Others,Society,T,California,Turnerville,Trustee,Vice President,866,862,RURAL,4,3819773
sdv-id-tdMPfa,Good,No,7588172,14,91,,Finance Ledgers,Fresh,Others,Society,P,California,Taraland,Correspondent,Member,866,862,RURAL,36,12785258
sdv-id-SKjJAm,Good,No,12784913,14,87,,Finance Ledgers,Top Up,Unsecured,Society,[,Missouri,Sullivanmouth,President,Treasurer,866,862,URBAN,15,13604655
sdv-id-jnymxG,Bad,No,46707,14,68,,Cashflows,Fresh,Unsecured,Society,D,West Virginia,East Scotttown,Secretary,Secretary,22,862,SEMIU,3,3919
sdv-id-fzgdTc,Good,No,1386314,14,51,,Finance Ledgers,Fresh,Unsecured,Society,S,Rhode Island,Lake Jennifer,President,Member,866,584,URBAN,17,30453984
sdv-id-ghTcAU,Bad,Yes,2653164,14,50,,Cashflows,Top Up,Others,Trust,_,Arizona,Smithchester,Secretary,Secretary,866,-1,SEMIU,5,1435949
sdv-id-MQQJUJ,Good,Yes,24320,14,19,15972229.76,Cashflows,Fresh,Unsecured,Society,P,North Dakota,Port Patricia,Secretary,Others,836,7,SEMIU,3,857270
sdv-id-DQgaKx,Good,No,94213,14,42,21506682.27,Finance Ledgers,Fresh,Unsecured,Trust,F,Maryland,Paulshire,Secretary,Trustee,866,862,URBAN,20,9029235
sdv-id-hfMApZ,Bad,No,666080,14,42,26646910.61,Cashflows,Fresh,Others,Society,A,North Dakota,Foxfort,President,Treasurer,140,-1,RURAL,5,6780898
sdv-id-sfUIxD,Good,No,1345388,14,71,5182300.748,Cashflows,Fresh,Secured,Society,R,Tennessee,Sheenamouth,President,Treasurer,866,862,SEMIU,7,5453050
sdv-id-bGdrVI,Good,No,31952,14,36,,Finance Ledgers,Fresh,Unsecured,Society,U,New Jersey,North Matthew,Chairman,President,-1,378,URBAN,3,86326
sdv-id-RXWiKs,Bad,Yes,641529,14,53,,Cashflows,Fresh,Others,Trust,V,New York,Johnsonmouth,Managing Trustee,Chairman,866,862,SEMIU,4,1708752
sdv-id-LLpxeh,Good,Yes,7571244,14,85,,Cashflows,Fresh,Unsecured,Society,H,New Jersey,Zacharyland,Others,Managing Director,866,862,SEMIU,12,34794873
sdv-id-DjOoSb,Good,No,3010271,14,98,,Cashflows,Top Up,Others,Society,F,Indiana,Walkermouth,President,President,866,-1,SEMIU,11,9196858
sdv-id-IjpotT,Good,Yes,788821,14,30,,Cashflows,Top Up,Others,Society,F,Louisiana,Tuckermouth,Secretary,President,866,-1,URBAN,6,2021977
sdv-id-sYCBlB,Bad,No,1212562,14,65,18084923.25,Finance Ledgers,Fresh,Secured,Society,^,New Mexico,Robinsonfurt,Chairman,Secretary,866,862,SEMIU,13,8812280
sdv-id-NSsokI,Good,No,963616,14,70,,Cashflows,Fresh,Secured,Society,d,Minnesota,Stacystad,Secretary,Secretary,866,862,RURAL,4,22537922
sdv-id-YbQuDa,Good,No,2281506,14,78,18262827.51,Cashflows,Fresh,Others,Trust,E,West Virginia,Nealview,President,Treasurer,866,862,RURAL,13,11435743
sdv-id-xIkwTm,Bad,No,28403,14,29,19095380.09,Cashflows,Fresh,Unsecured,Society,E,Alaska,Port Jaimemouth,Secretary,Member,866,862,RURAL,6,9108048
sdv-id-hFGgwj,Good,No,1160398,14,43,22647671.33,Finance Ledgers,Fresh,Unsecured,Trust,D,New Jersey,Rodriguezfurt,President,President,866,862,RURAL,2,16637807
sdv-id-OHfXHA,Good,No,901885,14,54,,Cashflows,Fresh,Others,Society,[,Arizona,Tiffanyberg,Treasurer,Trustee,866,-1,URBAN,36,16183043
sdv-id-BauhjQ,Bad,No,2060099,14,67,,Cashflows,Fresh,Secured,Society,A,California,West Emilyland,Secretary,President,866,862,RURAL,11,6548177
sdv-id-IBiiKy,Bad,Yes,2026288,14,52,10971666.25,Finance Ledgers,Fresh,Others,Society,B,South Carolina,South Connie,Managing Director,Chairman,866,862,SEMIU,27,31095940
sdv-id-sKwsAP,Bad,Yes,696874,14,29,,Cashflows,Top Up,Unsecured,Society,E,Tennessee,South Kimberlyburgh,Correspondent,Others,866,862,RURAL,30,26513499
sdv-id-hwqVlL,Good,No,5336291,14,68,,Finance Ledgers,Top Up,Others,Society,R,Nevada,West Johnton,Managing Trustee,Member,853,862,SEMIU,24,3983652
sdv-id-peLwYZ,Good,No,7083,14,15,,Finance Ledgers,Fresh,Secured,Society,G,West Virginia,East Brittany,Others,Vice President,745,1,SEMIU,13,75642
sdv-id-CbEOcS,Bad,No,564563,14,39,33295813.03,Finance Ledgers,Fresh,Unsecured,Society,g,Delaware,Sierramouth,Secretary,Others,866,347,SEMIU,1,2750289
sdv-id-iXVSZa,Bad,Yes,163739,14,51,38579208.45,Cashflows,Fresh,Others,Trust,F,New York,New Ashleyview,Secretary,Trustee,866,862,RURAL,22,10490090
sdv-id-WaQkRk,Bad,Yes,4317765,14,48,,Finance Ledgers,Fresh,Others,Society,^,Nebraska,North Christopher,President,Secretary,866,862,RURAL,20,15464511
sdv-id-qNeUJt,Bad,Yes,872619,14,56,,Cashflows,Fresh,Others,Society,E,Alabama,Port Calvinmouth,Secretary,Treasurer,866,862,RURAL,6,5220689
sdv-id-yBXAce,Good,No,1159499,14,79,,Cashflows,Fresh,Unsecured,Society,V,Connecticut,Thomasmouth,Secretary,Director,866,862,URBAN,6,12896032
sdv-id-AMMbrr,Good,No,5211008,14,69,,Cashflows,Top Up,Unsecured,Society,X,Kentucky,Millermouth,President,President,91,862,RURAL,1,9277868
sdv-id-aCmGsq,Good,No,505547,14,48,,Cashflows,Fresh,Unsecured,Trust,E,Maryland,South Steventown,President,Secretary,866,-1,RURAL,9,4183900
sdv-id-ttFAXK,Bad,No,2909869,14,61,,Cashflows,Fresh,Others,Society,R,Hawaii,Hannahchester,Secretary,Member,866,862,RURAL,15,4375564
sdv-id-amvpPj,Good,No,311683,14,35,10533688.98,Cashflows,Fresh,Others,Society,C,Michigan,Lake Olivia,President,Treasurer,866,862,URBAN,6,2595924
sdv-id-hvtPcv,Good,No,2750666,14,33,4602470.448,Finance Ledgers,Fresh,Others,Trust,A,Maryland,New Stevenfort,Secretary,Treasurer,860,862,SEMIU,9,14438625
sdv-id-sCffBE,Good,No,1108193,14,92,,Average Bank Balance,Fresh,Unsecured,Society,H,Connecticut,Galvanside,President,President,764,805,SEMIU,3,
sdv-id-iOgQak,Bad,Yes,12851909,14,98,,Finance Ledgers,Fresh,Unsecured,Trust,A,Indiana,Donaldsonhaven,Managing Trustee,Managing Director,866,559,URBAN,19,41880875
sdv-id-SSVPcq,Bad,No,3302023,14,94,,Cashflows,Fresh,Unsecured,Trust,L,Louisiana,Lake Brookeville,Secretary,Trustee,866,862,RURAL,6,35988433
sdv-id-VfOXFC,Good,No,801870,14,59,15352992.2,Cashflows,Fresh,Others,Society,R,North Carolina,Kyleside,Secretary,Others,74,717,SEMIU,8,23316675
sdv-id-JvCCpM,Bad,Yes,3839402,14,60,,Cashflows,Fresh,Others,Society,F,New Mexico,West Melissahaven,President,Treasurer,866,862,SEMIU,19,9433893
sdv-id-PxjlaR,Bad,Yes,1996638,14,56,20196261.28,Finance Ledgers,Fresh,Secured,Trust,_,Illinois,Maxwellstad,Secretary,President,866,862,RURAL,11,8859653
sdv-id-FVJcgx,Bad,Yes,237653,14,43,21358209.84,Cashflows,Fresh,Unsecured,Trust,C,New Jersey,Matthewville,Secretary,Vice President,866,735,RURAL,14,37081312
sdv-id-WxHUxy,Good,No,2700026,14,89,14568618.74,Cashflows,Fresh,Others,Society,E,Connecticut,Reyesborough,Secretary,Trustee,866,580,URBAN,6,12882777
sdv-id-qsGMWE,Good,Yes,49143,14,47,,Finance Ledgers,Fresh,Others,Trust,V,Oregon,Palmerburgh,Secretary,Treasurer,866,862,SEMIU,9,5450345
sdv-id-KTbjgU,Good,No,104794,14,23,,Cashflows,Fresh,Secured,Society,F,Arizona,West Thomas,Others,Secretary,866,858,URBAN,12,219818
sdv-id-ICcJbY,Bad,No,280949,14,52,,Cashflows,Fresh,Others,Society,^,Georgia,Port Matthewfort,President,President,866,862,RURAL,5,4378823
sdv-id-FDQjdv,Good,Yes,8750110,14,92,14646974.89,Cashflows,Fresh,Others,Society,D,Pennsylvania,Rhodesview,Secretary,Trustee,4,-1,URBAN,19,4798437
sdv-id-xkmtLU,Bad,Yes,142320,14,85,,Cashflows,Top Up,Unsecured,Society,R,Tennessee,South Davidhaven,Trustee,President,866,862,SEMIU,27,16002290
sdv-id-bhyrkK,Bad,Yes,2774944,14,75,23626885.87,Cashflows,Top Up,Unsecured,Society,T,Idaho,East Michellehaven,President,Secretary,866,862,URBAN,18,21458682
sdv-id-agtAUT,Bad,No,4409742,14,99,28736344.94,Cashflows,Fresh,Others,Society,N,New Jersey,Millerside,Secretary,Member,2,862,SEMIU,16,21989608
sdv-id-rCyOss,Good,No,434893,14,45,,Finance Ledgers,Fresh,Others,Society,D,Wyoming,Port Markchester,President,Secretary,866,862,SEMIU,7,7877509
sdv-id-BpWFYS,Good,No,469826,14,83,,Cashflows,Top Up,Others,Society,G,Arkansas,Douglasberg,Treasurer,Member,866,862,RURAL,2,1232103
sdv-id-pGBomY,Bad,Yes,1550456,14,58,36171403.95,Finance Ledgers,Fresh,Secured,Society,G,Indiana,Damonland,Managing Trustee,Secretary,189,862,URBAN,17,15032858
sdv-id-ZYdvFc,Bad,Yes,125945,14,41,38850403.79,Finance Ledgers,Fresh,Unsecured,Trust,G,Florida,Sullivanfort,Managing Trustee,Treasurer,866,862,SEMIU,33,9475196
sdv-id-hAWDnR,Bad,Yes,18393803,14,116,,Cashflows,Top Up,Others,Trust,P,Wisconsin,Port Jon,President,Vice President,866,862,SEMIU,11,19287765
sdv-id-pHVNOR,Good,No,3372307,14,80,,Cashflows,Fresh,Others,Society,A,Indiana,Lake Katieville,President,Treasurer,866,-1,RURAL,8,18653734
sdv-id-TyWhAM,Good,Yes,25102927,14,130,,Cashflows,Fresh,Others,Trust,B,Utah,Newtonton,Secretary,Treasurer,866,862,RURAL,18,63847415
sdv-id-yxJryC,Bad,Yes,129296,14,65,,Cashflows,Fresh,Secured,Society,A,Kansas,East Christina,Secretary,Managing Director,866,530,URBAN,9,638085
sdv-id-cbYbBi,Bad,Yes,37790,14,61,,Cashflows,Fresh,Secured,Society,[,West Virginia,Thompsonberg,Secretary,Member,435,722,URBAN,11,2374106
sdv-id-txMQpl,Good,No,5046906,14,43,,Cashflows,Fresh,Unsecured,Society,_,Rhode Island,Jessicaborough,President,Others,866,-1,SEMIU,26,539415
sdv-id-ciWTOz,Bad,Yes,120407,14,47,,Cashflows,Fresh,Secured,Trust,V,Washington,Nancyshire,Secretary,Trustee,866,862,RURAL,5,17096434
sdv-id-yGCysa,Good,No,989965,14,41,,Cashflows,Fresh,Others,Society,D,Montana,East Aaronland,Managing Director,Others,866,862,URBAN,3,439538
sdv-id-iwgzaE,Good,No,5321841,14,50,,Cashflows,Fresh,Others,Trust,A,Oklahoma,South Nicholasburgh,Correspondent,Correspondent,376,862,RURAL,13,11848955
sdv-id-uEiVKS,Bad,No,828993,14,44,15304732.63,Finance Ledgers,Top Up,Others,Trust,E,Alabama,West Michael,Secretary,President,657,862,SEMIU,2,316034
sdv-id-lcFywp,Bad,No,474840,14,31,,Cashflows,Fresh,Unsecured,Trust,T,Virginia,Derekbury,President,Secretary,866,508,SEMIU,4,4056865
sdv-id-XhDFnL,Bad,No,2294509,14,75,,Finance Ledgers,Fresh,Unsecured,Society,H,Wisconsin,Danieltown,Secretary,Member,866,114,URBAN,13,35805764
sdv-id-ZkJtlD,Bad,Yes,602944,14,30,,Cashflows,Fresh,Unsecured,Trust,X,Tennessee,Rachelburgh,Secretary,Others,866,862,SEMIU,10,10154215
sdv-id-YctJtm,Bad,No,586584,14,67,,Cashflows,Fresh,Others,Trust,Q,New Jersey,West Debbieberg,Managing Director,Member,224,799,SEMIU,3,480629
sdv-id-ERcQZY,Bad,No,596606,14,57,,Cashflows,Top Up,Unsecured,Society,_,Hawaii,Baileyland,Others,Secretary,866,36,SEMIU,3,8039735
sdv-id-IvIldP,Bad,Yes,187694,14,42,,Finance Ledgers,Fresh,Unsecured,Society,K,Minnesota,North Gabrielstad,Others,Others,833,862,URBAN,15,951496
sdv-id-tDcwEv,Good,No,947728,14,87,,Cashflows,Fresh,Others,Society,O,Texas,Lake Michaelburgh,Chairman,President,866,0,RURAL,10,1888215
sdv-id-HstZXA,Bad,Yes,4262490,14,69,22835292.19,Cashflows,Fresh,Others,Society,E,Washington,Sarahland,Secretary,Others,866,823,URBAN,10,15706589
sdv-id-LFFVNK,Good,No,8430281,14,76,41110742.39,Finance Ledgers,Fresh,Others,Trust,S,Louisiana,Sarahport,President,President,866,649,URBAN,10,87362108
sdv-id-RuEvSx,Bad,Yes,7102251,14,95,,Average Bank Balance,Top Up,Others,Trust,A,Ohio,South Allison,Secretary,Trustee,866,862,SEMIU,32,20700554
sdv-id-OhJavv,Bad,No,350779,14,51,,Cashflows,Fresh,Secured,Society,A,Pennsylvania,East Cody,President,Secretary,866,-1,SEMIU,5,386959
sdv-id-zIpMPB,Good,No,652190,14,42,20047203.21,Cashflows,Top Up,Unsecured,Trust,V,Massachusetts,West Lucashaven,Managing Trustee,Member,866,133,RURAL,3,9623888
sdv-id-Mmhjqp,Bad,Yes,124334,14,42,,Finance Ledgers,Fresh,Unsecured,Society,S,Hawaii,North David,President,Managing Director,866,862,SEMIU,18,1861111
sdv-id-qrfWpd,Good,No,1095256,14,47,,Finance Ledgers,Fresh,Others,Society,_,Kentucky,North Adam,Correspondent,Treasurer,866,862,URBAN,11,1256039
sdv-id-NwNfKr,Good,Yes,1667627,14,43,,Finance Audits,Fresh,Unsecured,Society,X,New Jersey,Barbarafort,Secretary,Managing Trustee,866,-1,URBAN,9,1234929
sdv-id-wauozI,Good,No,490395,14,36,,Average Bank Balance,Fresh,Secured,Society,C,New Jersey,Sheltonchester,Managing Director,Chairman,866,843,URBAN,19,23806594
sdv-id-BvcstZ,Bad,Yes,91516,14,40,,Finance Ledgers,Fresh,Others,Society,H,New Hampshire,East Aliciashire,,Vice President,866,862,RURAL,14,27038259
sdv-id-smzJgn,Bad,No,78906,14,46,,Finance Ledgers,Fresh,Secured,Trust,V,New Hampshire,South Jill,Chairman,Others,52,862,RURAL,28,23788501
sdv-id-TxQnUy,Good,No,5295502,14,68,,Cashflows,Fresh,Unsecured,Trust,E,Georgia,Port Terri,Secretary,President,866,-1,SEMIU,19,21507319
sdv-id-XlfXtw,Bad,Yes,5642112,14,91,,Cashflows,Top Up,Others,Society,R,Maine,Chenmouth,President,Secretary,866,862,RURAL,1,22782998
sdv-id-oHeQkr,Good,No,105219,14,44,,Finance Ledgers,Fresh,Unsecured,Society,S,Iowa,West Patricia,Secretary,President,866,862,SEMIU,10,10591656
sdv-id-QMIbYQ,Bad,Yes,172666,14,39,,Cashflows,Fresh,Secured,Trust,G,Hawaii,Johnnychester,Others,President,866,56,RURAL,8,3481723
sdv-id-NUtmVv,Bad,Yes,388534,14,33,,Finance Ledgers,Top Up,Others,Trust,S,Nebraska,East Brittneyfort,Director,Member,866,862,SEMIU,23,151351
sdv-id-UtAQAb,Good,No,2188561,14,40,,Cashflows,Top Up,Others,Society,V,Delaware,New Christina,Secretary,Secretary,866,862,RURAL,8,4127535
sdv-id-SbWFjs,Bad,Yes,1088359,14,47,20542600.37,Finance Ledgers,Fresh,Unsecured,Society,K,Montana,Buckleymouth,Chairman,Secretary,866,862,URBAN,14,26936594
sdv-id-eRCJBd,Bad,No,2194447,14,60,3332474.236,Finance Ledgers,Fresh,Others,Society,_,Mississippi,Campbellland,Secretary,President,866,862,RURAL,10,8959178
sdv-id-sEcmwD,Good,No,8366472,14,91,,Cashflows,Top Up,Others,Society,M,Texas,Barkerborough,President,Treasurer,829,862,URBAN,10,54638548
sdv-id-PbLMap,Bad,No,142868,14,39,14303392.3,Finance Ledgers,Top Up,Unsecured,Trust,S,Arkansas,Port Vanessatown,Secretary,Trustee,866,862,RURAL,9,7703634
sdv-id-Bmnppz,Bad,No,550037,14,33,,Cashflows,Fresh,Unsecured,Trust,c,North Carolina,South Michelle,Managing Trustee,Trustee,866,-1,RURAL,4,17027275
sdv-id-NTewtB,Bad,Yes,198165,14,63,,Cashflows,Fresh,Others,Society,^,California,Keyburgh,President,President,-1,862,SEMIU,5,1182905
sdv-id-uAnJcU,Bad,No,1070552,14,59,,Finance Ledgers,Fresh,Unsecured,Society,Z,Tennessee,Gilbertmouth,Secretary,Others,866,862,RURAL,10,15489522
sdv-id-DSznhP,Bad,No,9100445,14,100,17276383.84,Cashflows,Fresh,Others,Society,C,Ohio,Port Joe,Secretary,Vice President,866,862,URBAN,29,21045133
sdv-id-KpWwSy,Good,Yes,5564121,14,130,,Cashflows,Fresh,Unsecured,Society,^,California,West Elizabethborough,Secretary,Secretary,866,0,RURAL,3,11977941
sdv-id-cOGhXz,Good,No,4068583,14,93,16541885.61,Finance Ledgers,Fresh,Unsecured,Trust,W,Wisconsin,Mcleanville,Chairman,Treasurer,866,862,URBAN,18,45249694
sdv-id-fDcJcW,Bad,No,379594,14,49,,Cashflows,Fresh,Unsecured,Trust,T,Iowa,Port Kaitlin,Secretary,Vice President,866,862,URBAN,6,8116319
sdv-id-olKiJS,Bad,No,2341064,14,55,,Finance Ledgers,Fresh,Secured,Society,L,Michigan,West Kristy,Member,Trustee,866,862,SEMIU,14,19296258
sdv-id-eEvrVX,Bad,Yes,31895,14,32,8994107.046,Cashflows,Fresh,Unsecured,Society,A,Arkansas,North Richard,Correspondent,Managing Director,2,862,SEMIU,14,724738
sdv-id-vEIkvJ,Bad,No,4580838,14,56,29482135.13,Finance Ledgers,Top Up,Others,Trust,A,Arkansas,Walkerburgh,Secretary,Treasurer,866,862,RURAL,25,4638396
sdv-id-NKjnQz,Good,No,5893249,14,77,13573631.83,Finance Ledgers,Fresh,Others,Society,H,South Carolina,New Monicaport,Others,Secretary,10,862,SEMIU,59,23508564
sdv-id-wACaNF,Good,No,2809114,14,86,,Finance Ledgers,Top Up,Others,Society,H,Colorado,West Andrew,Others,Secretary,866,862,SEMIU,11,19645831
sdv-id-tbVTNI,Good,No,294147,14,41,,Cashflows,Top Up,Unsecured,Society,O,California,East Lisa,Treasurer,President,-1,862,SEMIU,4,2669554
sdv-id-iuPzYi,Good,No,12887278,14,99,,Cashflows,Fresh,Others,Society,[,Vermont,North Maria,Director,Trustee,843,862,RURAL,24,32125085
sdv-id-gQPhHR,Bad,No,606206,14,48,,Finance Ledgers,Fresh,Unsecured,Society,[,Wisconsin,West Jerryborough,Chairman,Trustee,846,862,URBAN,1,11131416
sdv-id-lmNpwG,Bad,Yes,31528,14,63,7788733.405,Finance Ledgers,Fresh,Unsecured,Trust,Y,Montana,Port Brianstad,Secretary,Treasurer,866,862,SEMIU,22,1288988
sdv-id-rhGDre,Good,No,1937594,14,52,,Cashflows,Fresh,Unsecured,Society,P,Louisiana,South Logan,Secretary,Secretary,866,862,RURAL,7,17007808
sdv-id-tuLEOX,Good,Yes,1756613,14,77,,Cashflows,Fresh,Unsecured,Trust,R,Nevada,East Steven,President,Member,866,0,RURAL,38,27740018
sdv-id-bpmFvj,Bad,No,169038,14,44,,Finance Ledgers,Top Up,Secured,Society,G,Maine,South Mikaylashire,Correspondent,Trustee,857,-1,URBAN,5,5779723
sdv-id-apuJme,Bad,No,457923,14,56,,Finance Ledgers,Fresh,Unsecured,Trust,Q,Tennessee,Lake Yvonne,President,Secretary,827,862,SEMIU,22,13010965
